EALF,keff,sd
5.75E-06,1.0306,0.0073
6.36E-06,1.0121,0.0055
6.60E-06,1.0158,0.0055
6.68E-06,1.0122,0.0055
6.79E-06,1.0118,0.0055
6.82E-06,1.013,0.0055
3.18E-05,1.0262,0.0068
3.89E-05,0.9933,0.0066
5.63E-05,1.0085,0.0026
5.91E-05,1.0221,0.0075
7.06E-05,1.0225,0.0075
8.66E-05,1.0247,0.0075
9.50E-05,1.0247,0.0075
2.51E-04,1.0075,0.0026
2.97E-04,1.0114,0.011
1.69E-03,1.0285,0.0069
1.92E-03,1.0159,0.0046
2.66E-03,1.0193,0.0046
3.48E-03,1.0055,0.0033
3.57E-03,1.0251,0.0046
4.32E-03,1.0303,0.0046
4.73E-03,1.0105,0.0037
4.95E-03,1.0313,0.0046
6.00E-03,1.0115,0.0033
6.06E-03,1.0082,0.0035
6.11E-03,1.0091,0.0031
6.36E-03,1.0084,0.0034
6.57E-03,1.0108,0.0039
9.26E-03,1.0225,0.0043
9.51E-03,1.0249,0.0023
1.21E-02,0.9999,0.0031
1.76E-02,1.002,0.0034
1.85E-02,0.9983,0.0038
1.88E-02,1.0004,0.0034
2.53E-02,1.0038,0.0035
2.54E-02,0.9994,0.0041
2.78E-02,1.0043,0.004
3.12E-02,1.0016,0.0041
3.22E-02,1.0016,0.0039
5.21E-02,1.0014,0.0038
6.72E-02,1.003,0.0044
7.25E-02,1.0033,0.0023
7.96E-02,0.9982,0.0044
8.25E-02,1.0007,0.0013
8.45E-02,1.0016,0.0045
9.21E-02,1.0065,0.0032
1.43E-01,1.003,0.0045
1.85E-01,1.006,0.0022
2.31E-01,1.0009,0.0031
3.86E-01,0.9995,0.0027
4.04E-01,0.9975,0.0031
4.40E-01,0.9987,0.0031
6.23E-01,1.0067,0.0032
6.41E-01,1.0037,0.0021
6.54E-01,0.9963,0.0031
7.31E-01,1.0057,0.0038
7.32E-01,0.9954,0.003
7.76E-01,1.0028,0.0016
7.78E-01,1.0044,0.0027
7.82E-01,0.9951,0.0031
7.85E-01,1.0037,0.0024
7.91E-01,1.0027,0.0032
8.02E-01,1.0068,0.0038
8.45E-01,1.0011,0.0034
8.65E-01,0.9936,0.0027
8.79E-01,1.0085,0.0034
8.89E-01,1.0083,0.0035
9.08E-01,0.9999,0.0031
9.16E-01,1.0073,0.0035
9.27E-01,1.0062,0.0036
9.51E-01,1.0021,0.0022
9.62E-01,0.9961,0.0027
9.73E-01,1.0268,0.0042
1.01E+00,1.0012,0.0015
1.06E+00,0.9995,0.0031
1.07E+00,0.9995,0.0023
1.08E+00,0.9979,0.001
1.09E+00,0.999,0.0025
1.11E+00,1.0052,0.0017
1.13E+00,0.998,0.0018
1.14E+00,1.0043,0.0028
1.14E+00,0.9991,0.0021
1.14E+00,1.003,0.0022
1.15E+00,0.9964,0.0039
1.16E+00,0.992,0.0023
1.16E+00,0.9941,0.0033
1.16E+00,0.9982,0.0038
1.16E+00,0.9944,0.0031
1.16E+00,0.9966,0.003
1.16E+00,0.9963,0.0033
1.17E+00,0.9984,0.0021
1.17E+00,0.9977,0.002
1.18E+00,0.9995,0.0017
1.19E+00,0.9986,0.0021
1.20E+00,0.9961,0.0031
1.22E+00,0.9983,0.0032
1.23E+00,0.996,0.0032
1.23E+00,0.9987,0.0022
1.24E+00,0.9953,0.003
1.24E+00,1.0007,0.003
1.24E+00,0.9959,0.0031
1.25E+00,0.9982,0.003
1.25E+00,0.9989,0.0013
1.25E+00,0.9958,0.0021
1.26E+00,1.0005,0.0022
