energy,barns
1.08E-05,483.908
1.08E-05,488.607
1.08E-05,512.396
1.08E-05,519.639
1.08E-05,537.574
1.08E-05,558.086
1.08E-05,563.517
1.08E-05,591.14
1.08E-05,599.434
1.08E-05,619.849
1.08E-05,643.549
1.08E-05,649.821
1.08E-05,681.203
1.08E-05,706.658
1.08E-05,725.177
1.08E-05,747.086
1.08E-05,770.973
1.08E-05,774.389
1.08E-05,819.097
1.08E-05,845.951
1.08E-05,853.429
1.08E-05,868.502
1.08E-05,919.427
1.08E-05,962.85
1.09E-05,996.866
1.09E-05,1015.8
1.09E-05,1068.86
1.09E-05,1080.24
1.09E-05,1121.58
1.09E-05,1147.91
1.09E-05,1165.66
1.09E-05,1190.12
1.09E-05,1232.09
1.09E-05,1233.71
1.09E-05,1289
1.09E-05,1294.74
1.09E-05,1333.64
1.09E-05,1348.41
1.09E-05,1369.71
1.09E-05,1381.82
1.09E-05,1399.22
1.09E-05,1405.73
1.09E-05,1420.88
1.09E-05,1427.06
1.09E-05,1428.26
1.09E-05,1436.74
1.09E-05,1439.83
1.09E-05,1441.86
1.09E-05,1442.85
1.09E-05,1441.88
1.09E-05,1440.57
1.09E-05,1439.72
1.09E-05,1435.13
1.09E-05,1430.31
1.10E-05,1427.06
1.10E-05,1420.89
1.10E-05,1407.65
1.10E-05,1405.96
1.10E-05,1399.14
1.10E-05,1381.21
1.10E-05,1379.06
1.10E-05,1363.95
1.10E-05,1348.26
1.10E-05,1343.77
1.10E-05,1320.28
