energy,barns
1.76E-05,15.4403
1.76E-05,16.971
1.76E-05,18.607
1.76E-05,20.9347
1.76E-05,23.4011
1.76E-05,27.5346
1.76E-05,33.0039
1.76E-05,36.4425
1.76E-05,39.1172
1.77E-05,41.0014
1.77E-05,42.2929
1.77E-05,43.7516
1.77E-05,44.7251
1.77E-05,45.4933
1.77E-05,45.9617
1.77E-05,46.1093
1.77E-05,45.9254
1.77E-05,45.4277
1.77E-05,44.65
1.77E-05,43.632
1.77E-05,41.7502
1.77E-05,39.5764
1.78E-05,34.1343
1.78E-05,31.1867
1.78E-05,29.1078
1.78E-05,27.7612
1.78E-05,26.0788
1.78E-05,24.6622
1.78E-05,23.4255
1.79E-05,22.5192
1.79E-05,21.7138
1.79E-05,20.7767
1.79E-05,19.9723
1.79E-05,19.1071
1.79E-05,18.4416
1.79E-05,17.8679
1.80E-05,17.2156
1.80E-05,16.6639
1.80E-05,16.1905
1.80E-05,15.5929
1.80E-05,15.0978
1.81E-05,14.5304
1.81E-05,14.0701
1.82E-05,13.6181
1.82E-05,13.1364
1.83E-05,12.7526
1.84E-05,12.4165
1.85E-05,12.0434
1.86E-05,11.6942
1.87E-05,11.373
1.88E-05,11.1089
1.90E-05,10.7836
1.93E-05,10.4299
1.97E-05,9.98644
2.04E-05,9.29
2.07E-05,8.96425
2.09E-05,8.6713
2.11E-05,8.37905
2.12E-05,8.17225
2.14E-05,7.8668
2.15E-05,7.58838
2.15E-05,7.34255
2.16E-05,7.1062
2.17E-05,6.83269
2.17E-05,6.56009
2.18E-05,6.24432
2.18E-05,5.97308
2.18E-05,5.66705
2.19E-05,5.32809
2.19E-05,4.96431
2.20E-05,4.38323
2.20E-05,4.20564
2.20E-05,4.11027
2.20E-05,4.05875
2.20E-05,4.03586
2.20E-05,4.02938
2.20E-05,4.0364
2.20E-05,4.07107
2.21E-05,4.11969
2.21E-05,4.17317
2.21E-05,4.25337
2.21E-05,4.35649
2.21E-05,4.48539
2.21E-05,4.64314
2.21E-05,4.83299
2.21E-05,5.05838
2.21E-05,5.32286
2.21E-05,5.56504
2.21E-05,5.87255
2.21E-05,6.2198
2.21E-05,6.56398
2.21E-05,6.91872
2.21E-05,7.30597
2.21E-05,7.72713
2.21E-05,8.18347
2.21E-05,8.84868
2.21E-05,9.5809
2.21E-05,10.382
2.22E-05,11.2531
2.22E-05,12.1949
2.22E-05,13.2069
2.22E-05,14.288
2.22E-05,15.436
2.22E-05,17.023
2.22E-05,19.1092
2.22E-05,21.178
2.22E-05,24.2075
2.22E-05,30.3996
2.22E-05,33.762
2.23E-05,36.3212
2.23E-05,38.0944
2.23E-05,39.7381
2.23E-05,40.9868
2.23E-05,41.9391
2.23E-05,42.5896
2.23E-05,43.1074
2.23E-05,43.3599
2.23E-05,43.3891
2.23E-05,43.218
2.23E-05,42.823
2.23E-05,41.982
2.24E-05,40.8408
2.24E-05,39.4683
2.24E-05,37.1265
2.24E-05,32.1612
2.24E-05,29.8333
2.24E-05,27.7221
2.25E-05,26.4518
2.25E-05,25.2936
2.25E-05,24.0471
2.25E-05,22.9466
2.25E-05,21.7543
2.25E-05,20.7377
2.25E-05,19.8342
2.26E-05,19.004
2.26E-05,18.2955
2.26E-05,17.6849
2.26E-05,16.9911
2.26E-05,16.3754
2.27E-05,15.8269
2.27E-05,15.3581
2.27E-05,14.7693
2.28E-05,14.2844
2.28E-05,13.8773
2.29E-05,13.4407
2.29E-05,13.0898
2.30E-05,12.6559
2.31E-05,12.2685
2.32E-05,11.894
2.33E-05,11.4931
2.35E-05,11.0554
2.37E-05,10.6611
2.38E-05,10.3367
2.38E-05,10.267
2.38E-05,10.2552
2.38E-05,10.2913
2.39E-05,10.3856
2.39E-05,10.611
2.40E-05,10.9389
2.40E-05,11.0554
2.40E-05,11.0954
2.40E-05,11.059
2.41E-05,10.9047
2.42E-05,10.6281
2.42E-05,10.4808
2.43E-05,10.3683
2.45E-05,10.11
2.51E-05,9.36333
2.52E-05,9.13379
2.54E-05,8.85545
2.55E-05,8.64075
2.56E-05,8.37662
2.57E-05,8.11233
2.58E-05,7.86902
2.58E-05,7.63581
2.59E-05,7.39442
2.59E-05,7.10774
2.59E-05,6.86856
2.60E-05,6.59651
2.60E-05,6.18771
2.60E-05,5.87855
2.60E-05,5.7473
2.61E-05,5.65407
2.61E-05,5.62487
2.61E-05,5.62371
2.61E-05,5.63791
2.61E-05,5.6875
2.61E-05,5.76129
2.61E-05,5.84492
2.61E-05,5.95311
2.61E-05,6.08841
2.61E-05,6.29283
2.61E-05,6.51312
2.61E-05,6.77392
2.61E-05,7.07797
2.61E-05,7.42771
2.61E-05,7.82516
2.62E-05,8.27187
2.62E-05,8.76881
2.62E-05,9.21209
2.62E-05,9.78002
2.62E-05,10.4157
2.62E-05,11.1221
2.62E-05,11.9885
2.62E-05,13.0305
2.62E-05,14.6978
2.62E-05,19.3569
2.63E-05,21.2024
2.63E-05,22.4961
2.63E-05,23.2493
2.63E-05,24.1811
2.63E-05,24.8656
2.63E-05,25.318
2.63E-05,25.6346
2.63E-05,25.8165
2.63E-05,25.8681
2.63E-05,25.7969
2.63E-05,25.6131
2.64E-05,25.1532
2.64E-05,24.514
2.64E-05,23.7446
2.64E-05,22.0025
2.64E-05,20.0739
2.65E-05,18.8451
2.65E-05,17.89
2.65E-05,17.0945
2.65E-05,16.4377
2.65E-05,15.8718
2.65E-05,15.3848
2.65E-05,14.9004
2.66E-05,14.4361
2.66E-05,14.0465
2.66E-05,13.5668
2.67E-05,13.1788
2.67E-05,12.8566
2.67E-05,12.4686
2.68E-05,12.1254
2.68E-05,11.7916
2.69E-05,11.3168
2.70E-05,10.9233
2.71E-05,10.3818
2.72E-05,10.2568
2.72E-05,10.2192
2.72E-05,10.2172
2.72E-05,10.2659
2.72E-05,10.3967
2.72E-05,10.597
2.73E-05,11.0344
2.73E-05,11.4476
2.73E-05,11.6444
2.74E-05,11.7655
2.74E-05,11.8067
2.74E-05,11.8073
2.74E-05,11.7623
2.74E-05,11.637
2.75E-05,11.3669
2.75E-05,11.1392
2.76E-05,10.9395
2.77E-05,10.7518
2.78E-05,10.5658
2.80E-05,10.3727
2.83E-05,10.1726
2.87E-05,9.96088
2.93E-05,9.71576
3.12E-05,9.11567
3.16E-05,8.96589
3.18E-05,8.86131
3.19E-05,8.73398
3.20E-05,8.56287
3.21E-05,8.43597
3.22E-05,8.41707
3.22E-05,8.44853
3.22E-05,8.52018
3.23E-05,8.6215
3.23E-05,8.78304
3.23E-05,9.15207
3.24E-05,9.51506
3.24E-05,9.67032
3.24E-05,9.77473
3.24E-05,9.84558
3.25E-05,9.86251
3.25E-05,9.84304
3.26E-05,9.69494
3.27E-05,9.49963
3.27E-05,9.37946
3.29E-05,9.22679
3.31E-05,9.10329
3.34E-05,8.9444
3.45E-05,8.53762
3.48E-05,8.39067
3.50E-05,8.25569
3.51E-05,8.12058
3.52E-05,7.98756
3.52E-05,7.82416
3.53E-05,7.60461
3.53E-05,7.56329
3.53E-05,7.55688
3.54E-05,7.58455
3.54E-05,7.66009
3.54E-05,7.79888
3.54E-05,7.97954
3.54E-05,8.27028
3.55E-05,8.93826
3.55E-05,9.33284
3.55E-05,9.54755
3.55E-05,9.70854
3.56E-05,9.81024
3.56E-05,9.85131
3.56E-05,9.85623
3.56E-05,9.82812
3.56E-05,9.74458
3.57E-05,9.29049
3.58E-05,9.08192
3.58E-05,8.95043
3.59E-05,8.81006
3.60E-05,8.70411
3.61E-05,8.58107
3.63E-05,8.45821
3.67E-05,8.28841
3.80E-05,7.79995
3.86E-05,7.49536
3.90E-05,7.27045
3.94E-05,6.99908
3.97E-05,6.77759
3.99E-05,6.58062
4.01E-05,6.3451
4.03E-05,6.13607
4.04E-05,5.88604
4.05E-05,5.66208
4.06E-05,5.49
4.07E-05,5.29494
4.07E-05,5.05931
4.08E-05,4.84655
4.09E-05,4.60361
4.09E-05,4.35094
