energy,barns
8.04E-06,37.4484
8.05E-06,35.3319
8.05E-06,33.391
8.06E-06,31.6071
8.07E-06,29.964
8.07E-06,28.4473
8.08E-06,26.8615
8.08E-06,25.2407
8.09E-06,23.7653
8.10E-06,22.4187
8.11E-06,21.1868
8.11E-06,20.0571
8.12E-06,19.019
8.13E-06,18.0631
8.14E-06,17.0607
8.15E-06,16.0355
8.16E-06,15.1061
8.17E-06,14.2615
8.17E-06,13.492
8.18E-06,12.7894
8.19E-06,12.1465
8.20E-06,11.557
8.21E-06,10.958
8.22E-06,10.3599
8.24E-06,9.81802
8.25E-06,9.32605
8.26E-06,8.87842
8.27E-06,8.47028
8.29E-06,7.92307
8.30E-06,7.59639
8.31E-06,7.21775
8.33E-06,6.87768
8.34E-06,6.5716
8.36E-06,6.29559
8.37E-06,6.0463
8.39E-06,5.71611
8.42E-06,5.43109
8.44E-06,5.18109
8.46E-06,4.96456
8.48E-06,4.77672
8.51E-06,4.61364
8.53E-06,4.42911
8.56E-06,4.27444
8.59E-06,4.14715
8.63E-06,4.04298
8.66E-06,3.95847
8.69E-06,3.89001
8.73E-06,3.81484
8.78E-06,3.76728
8.83E-06,3.74003
8.85E-06,3.73775
8.92E-06,3.75044
8.98E-06,3.79078
9.04E-06,3.85776
9.10E-06,3.94915
9.17E-06,4.06698
9.23E-06,4.21075
9.30E-06,4.38468
9.36E-06,4.5903
9.41E-06,4.77066
9.46E-06,4.97452
9.51E-06,5.20618
9.56E-06,5.47106
9.61E-06,5.77197
9.66E-06,6.11918
9.70E-06,6.38032
9.73E-06,6.66747
9.77E-06,6.98361
9.80E-06,7.33756
9.83E-06,7.72959
9.87E-06,8.16486
9.90E-06,8.64989
9.94E-06,9.20097
9.97E-06,9.82148
1.00E-05,10.3391
1.00E-05,10.9077
1.01E-05,11.5369
1.01E-05,12.2386
1.01E-05,13.0166
1.01E-05,13.8818
1.02E-05,14.8473
1.02E-05,15.9285
1.02E-05,16.7341
1.02E-05,17.6075
1.02E-05,18.5561
1.03E-05,19.5887
1.03E-05,20.7147
1.03E-05,21.9455
1.03E-05,23.2937
1.03E-05,24.774
1.03E-05,26.6714
1.04E-05,28.7991
1.04E-05,30.3638
1.04E-05,32.0605
1.04E-05,33.904
1.04E-05,35.9112
1.04E-05,38.1012
1.05E-05,40.6631
1.05E-05,43.4888
1.05E-05,46.6144
1.05E-05,50.0818
1.05E-05,53.9406
1.05E-05,57.1536
1.05E-05,61.0877
1.05E-05,65.4277
1.06E-05,70.2292
1.06E-05,74.913
1.06E-05,79.3607
1.06E-05,84.198
1.06E-05,89.4696
1.06E-05,95.2259
1.06E-05,101.525
1.06E-05,108.433
1.06E-05,116.026
1.06E-05,124.39
1.07E-05,133.626
1.07E-05,143.847
1.07E-05,155.185
1.07E-05,164.511
1.07E-05,174.621
1.07E-05,185.591
1.07E-05,197.509
1.07E-05,210.467
1.07E-05,224.566
1.07E-05,238.322
1.07E-05,253.175
1.07E-05,269.213
1.07E-05,286.527
1.08E-05,305.212
1.08E-05,326.913
1.08E-05,351.257
1.08E-05,377.642
1.08E-05,406.171
1.08E-05,436.919
1.08E-05,469.938
1.08E-05,505.235
1.08E-05,555.761
1.08E-05,609.992
1.08E-05,667.43
1.09E-05,788.641
1.09E-05,910.128
1.09E-05,977.899
1.09E-05,1023.9
1.09E-05,1060.15
1.09E-05,1089.38
1.09E-05,1113.37
1.09E-05,1131.21
1.09E-05,1144.43
1.09E-05,1149.77
1.09E-05,1147.73
1.10E-05,1138.05
1.10E-05,1122.92
1.10E-05,1102.19
1.10E-05,1072.62
1.10E-05,1028.49
1.10E-05,977.777
1.10E-05,906.09
1.10E-05,739.107
1.10E-05,659.721
1.11E-05,610.181
1.11E-05,563.852
1.11E-05,520.946
1.11E-05,481.521
1.11E-05,445.516
1.11E-05,412.784
1.11E-05,383.126
1.11E-05,356.309
1.11E-05,332.09
1.11E-05,310.224
1.12E-05,290.478
1.12E-05,272.632
1.12E-05,256.483
1.12E-05,241.848
1.12E-05,228.564
1.12E-05,216.485
1.12E-05,205.481
1.12E-05,195.437
1.12E-05,186.254
1.12E-05,173.899
1.13E-05,163.027
1.13E-05,153.424
1.13E-05,144.917
1.13E-05,137.358
1.13E-05,130.626
1.13E-05,124.619
1.13E-05,119.252
1.14E-05,114.453
1.14E-05,109.26
1.14E-05,104.738
1.14E-05,100.811
1.14E-05,97.4221
1.14E-05,94.5231
1.15E-05,92.2004
1.15E-05,89.7615
1.15E-05,87.939
1.15E-05,86.7258
1.15E-05,86.2128
1.16E-05,86.088
1.16E-05,86.3069
1.16E-05,87.0676
1.16E-05,88.4541
1.16E-05,89.7857
1.16E-05,91.5015
1.17E-05,93.6695
1.17E-05,96.3811
1.17E-05,99.302
1.17E-05,102.846
1.17E-05,107.161
1.17E-05,110.558
1.17E-05,114.453
1.17E-05,118.932
1.17E-05,123.494
1.17E-05,128.009
1.17E-05,133.065
1.17E-05,138.728
1.17E-05,145.071
1.17E-05,152.169
1.18E-05,160.102
1.18E-05,168.947
1.18E-05,177.807
1.18E-05,191.075
1.18E-05,206.005
1.18E-05,218.81
1.18E-05,234.74
1.18E-05,252.031
1.18E-05,270.612
1.18E-05,298.541
1.18E-05,339.038
1.18E-05,393.356
1.18E-05,423.916
1.19E-05,442.381
1.19E-05,458.698
1.19E-05,472.356
1.19E-05,482.886
1.19E-05,489.885
1.19E-05,493.04
1.19E-05,493.19
1.19E-05,491.83
1.19E-05,487.117
1.19E-05,477.992
1.19E-05,468.556
1.19E-05,457.022
1.19E-05,440.627
1.19E-05,423.955
1.19E-05,395.832
1.19E-05,364.835
1.19E-05,319.4
1.20E-05,253.736
1.20E-05,220.329
1.20E-05,195.053
1.20E-05,177.132
1.20E-05,160.201
1.20E-05,144.324
1.20E-05,129.54
1.20E-05,120.302
1.20E-05,111.559
1.20E-05,103.308
1.20E-05,95.5428
1.20E-05,88.255
1.20E-05,81.4323
1.20E-05,75.0616
1.20E-05,68.2736
1.20E-05,62.9512
1.20E-05,58.0088
1.20E-05,53.428
1.20E-05,49.1913
1.20E-05,46.5489
1.20E-05,43.1188
1.20E-05,39.9413
1.20E-05,37.0021
1.20E-05,34.2872
1.20E-05,31.7827
1.20E-05,29.4754
1.20E-05,27.3522
1.20E-05,25.4006
1.20E-05,23.5373
1.21E-05,21.8346
1.21E-05,20.28
1.21E-05,18.8622
1.21E-05,17.5701
1.21E-05,16.3937
1.21E-05,15.3234
1.21E-05,14.3503
1.21E-05,13.4662
1.21E-05,12.6633
1.21E-05,11.8429
1.21E-05,11.2321
1.21E-05,10.6748
1.21E-05,10.1665
1.21E-05,9.703
1.21E-05,9.28061
1.21E-05,8.71651
1.21E-05,8.22652
1.21E-05,7.80136
1.21E-05,7.43293
1.21E-05,7.11416
1.21E-05,6.83884
1.21E-05,6.60162
1.21E-05,6.35371
1.21E-05,6.14939
1.21E-05,5.98221
1.21E-05,5.84675
1.21E-05,5.70653
1.22E-05,5.60635
1.22E-05,5.53882
1.22E-05,5.49801
1.22E-05,5.4766
1.22E-05,5.49205
1.22E-05,5.55414
1.22E-05,5.64935
1.22E-05,5.83096
1.23E-05,6.25705
1.23E-05,6.93431
1.24E-05,7.46244
1.24E-05,7.93061
1.25E-05,8.44391
1.26E-05,8.89658
1.27E-05,9.4446
1.29E-05,10.757
1.30E-05,11.3323
1.31E-05,11.9811
1.31E-05,12.5284
1.32E-05,13.1495
1.33E-05,13.8594
1.33E-05,14.6776
1.34E-05,15.3061
1.34E-05,16.0072
1.35E-05,16.7944
1.35E-05,17.6853
1.36E-05,18.7183
1.36E-05,19.5961
1.36E-05,20.5794
1.37E-05,21.6878
1.37E-05,22.9463
1.37E-05,24.2094
1.38E-05,25.6438
1.38E-05,27.2865
1.38E-05,28.5207
1.39E-05,29.8866
1.39E-05,31.4062
1.39E-05,32.9187
1.39E-05,34.3931
1.39E-05,36.0189
1.39E-05,37.8204
1.40E-05,39.8278
1.40E-05,42.0782
1.40E-05,44.6187
1.40E-05,46.7497
1.40E-05,49.1084
1.40E-05,51.4272
